ChipTime,ax(g),ay(g),az(g)
2021-01-02 15:47:55.565,-0.1206,-0.9585,0.2397
2021-01-02 15:47:55.575,-0.1206,-0.9595,0.2402
2021-01-02 15:47:55.595,-0.1206,-0.9595,0.2402
2021-01-02 15:47:55.605,-0.1211,-0.957,0.2402
2021-01-02 15:47:55.615,-0.1211,-0.957,0.2402
2021-01-02 15:47:55.625,-0.1216,-0.9575,0.2397
2021-01-02 15:47:55.635,-0.1216,-0.9575,0.2397
2021-01-02 15:47:55.645,-0.1211,-0.9585,0.2393
2021-01-02 15:47:55.655,-0.1211,-0.9585,0.2393
2021-01-02 15:47:55.665,-0.1226,-0.9575,0.2393
2021-01-02 15:47:55.675,-0.1226,-0.9575,0.2393
2021-01-02 15:47:55.685,-0.1201,-0.959,0.2383
2021-01-02 15:47:55.695,-0.1201,-0.959,0.2383
2021-01-02 15:47:55.705,-0.1216,-0.9604,0.2388
2021-01-02 15:47:55.715,-0.1216,-0.9604,0.2388
2021-01-02 15:47:55.725,-0.1177,-0.958,0.2373
2021-01-02 15:47:55.735,-0.1177,-0.958,0.2373
2021-01-02 15:47:55.745,-0.1211,-0.959,0.2368
2021-01-02 15:47:55.755,-0.1211,-0.959,0.2368
2021-01-02 15:47:55.765,-0.1157,-0.9634,0.2324
2021-01-02 15:47:55.775,-0.1157,-0.9634,0.2324
2021-01-02 15:47:55.785,-0.1182,-0.9629,0.2324
2021-01-02 15:47:55.795,-0.1182,-0.9629,0.2324
2021-01-02 15:47:55.805,-0.1196,-0.9609,0.2339
2021-01-02 15:47:55.815,-0.1196,-0.9609,0.2339
2021-01-02 15:47:55.825,-0.1177,-0.96,0.2344
2021-01-02 15:47:55.835,-0.1177,-0.96,0.2344
2021-01-02 15:47:55.845,-0.1216,-0.9619,0.2314
2021-01-02 15:47:55.855,-0.1216,-0.9619,0.2314
2021-01-02 15:47:55.865,-0.1216,-0.9604,0.2334
2021-01-02 15:47:55.875,-0.1216,-0.9604,0.2334
2021-01-02 15:47:55.885,-0.1216,-0.96,0.2305
2021-01-02 15:47:55.895,-0.1216,-0.96,0.2305
2021-01-02 15:47:55.905,-0.1196,-0.96,0.2314
2021-01-02 15:47:55.915,-0.1196,-0.96,0.2314
2021-01-02 15:47:55.925,-0.1177,-0.9653,0.2261
2021-01-02 15:47:55.935,-0.1177,-0.9653,0.2261
2021-01-02 15:47:55.945,-0.1196,-0.9629,0.2285
2021-01-02 15:47:55.955,-0.1196,-0.9629,0.2285
2021-01-02 15:47:55.965,-0.1211,-0.9614,0.2295
2021-01-02 15:47:55.975,-0.1211,-0.9614,0.2295
2021-01-02 15:47:55.985,-0.1191,-0.9614,0.23
2021-01-02 15:47:55.995,-0.1191,-0.9614,0.23
2021-01-02 15:47:56.005,-0.1201,-0.9619,0.231
2021-01-02 15:47:56.015,-0.1201,-0.9619,0.231
2021-01-02 15:47:56.025,-0.1211,-0.958,0.2339
2021-01-02 15:47:56.035,-0.1211,-0.958,0.2339
2021-01-02 15:47:56.045,-0.1226,-0.9585,0.2334
2021-01-02 15:47:56.055,-0.1226,-0.9585,0.2334
2021-01-02 15:47:56.065,-0.1216,-0.96,0.2314
2021-01-02 15:47:56.075,-0.1216,-0.96,0.2314
2021-01-02 15:47:56.085,-0.1216,-0.9609,0.2314
2021-01-02 15:47:56.095,-0.1216,-0.9609,0.2314
2021-01-02 15:47:56.105,-0.1211,-0.9609,0.23
2021-01-02 15:47:56.115,-0.1211,-0.9609,0.23
2021-01-02 15:47:56.125,-0.1196,-0.9619,0.231
2021-01-02 15:47:56.135,-0.1196,-0.9619,0.231
2021-01-02 15:47:56.145,-0.1182,-0.9624,0.2295
2021-01-02 15:47:56.155,-0.1182,-0.9624,0.2295
2021-01-02 15:47:56.165,-0.1206,-0.9609,0.23
2021-01-02 15:47:56.175,-0.1206,-0.9609,0.23
2021-01-02 15:47:56.185,-0.1226,-0.9614,0.229
2021-01-02 15:47:56.195,-0.1226,-0.9614,0.229
2021-01-02 15:47:56.205,-0.1221,-0.9619,0.229
2021-01-02 15:47:56.215,-0.1221,-0.9619,0.229
2021-01-02 15:47:56.225,-0.1221,-0.9604,0.231
2021-01-02 15:47:56.235,-0.1221,-0.9604,0.231
2021-01-02 15:47:56.245,-0.1191,-0.9609,0.231
2021-01-02 15:47:56.255,-0.1191,-0.9609,0.231
2021-01-02 15:47:56.265,-0.1216,-0.9609,0.2305
2021-01-02 15:47:56.275,-0.1216,-0.9609,0.2305
2021-01-02 15:47:56.285,-0.1226,-0.9604,0.231
2021-01-02 15:47:56.295,-0.1226,-0.9604,0.231
2021-01-02 15:47:56.305,-0.1216,-0.9614,0.2295
2021-01-02 15:47:56.315,-0.1216,-0.9614,0.2295
2021-01-02 15:47:56.325,-0.1226,-0.9609,0.2295
2021-01-02 15:47:56.335,-0.1226,-0.9609,0.2295
2021-01-02 15:47:56.345,-0.123,-0.9609,0.2305
2021-01-02 15:47:56.355,-0.123,-0.9609,0.2305
2021-01-02 15:47:56.365,-0.1216,-0.9595,0.2324
2021-01-02 15:47:56.375,-0.1216,-0.9595,0.2324
2021-01-02 15:47:56.385,-0.1216,-0.9604,0.231
2021-01-02 15:47:56.395,-0.1216,-0.9604,0.231
2021-01-02 15:47:56.405,-0.1221,-0.9614,0.23
2021-01-02 15:47:56.415,-0.1221,-0.9614,0.23
2021-01-02 15:47:56.425,-0.1211,-0.9624,0.228
2021-01-02 15:47:56.435,-0.1211,-0.9624,0.228
2021-01-02 15:47:56.445,-0.1201,-0.9639,0.2275
